"site","hydro.endpoints","hydro","Scenario","FlowMetric","PredictedProbability","PredictedProbabilityScaled","index"
502010,"Peak_2",87.5721,"Current","peak_2",NA,NA,"ASCI"
502011,"Peak_2",70.7569,"Current","peak_2",NA,NA,"ASCI"
502020,"Peak_2",27.7185,"Current","peak_2",NA,NA,"ASCI"
502030,"Peak_2",11.0133,"Current","peak_2",NA,NA,"ASCI"
101010,"SP_Mag",26.3961,"Current","sp_mag",0.35873432268641,0.685099468507165,"ASCI"
101011,"SP_Mag",6.0267,"Current","sp_mag",0.444417388121055,0.926175325942281,"ASCI"
101012,"SP_Mag",5.65485,"Current","sp_mag",0.446029864354913,0.930712151144543,"ASCI"
101020,"SP_Mag",3.804,"Current","sp_mag",0.454072072375048,0.953339518457917,"ASCI"
201010,"SP_Mag",107.9785,"Current","sp_mag",0.117830583917024,0.00729837574103219,"ASCI"
201020,"SP_Mag",109.4137,"Current","sp_mag",0.11523659871735,0,"ASCI"
201030,"SP_Mag",20.2212,"Current","sp_mag",0.384035535849388,0.756286366717127,"ASCI"
201031,"SP_Mag",3.5041,"Current","sp_mag",0.455377552826632,0.957012587548453,"ASCI"
201040,"SP_Mag",81.8901,"Current","sp_mag",0.174347453432127,0.166312910396007,"ASCI"
201041,"SP_Mag",77.4136,"Current","sp_mag",0.185951557816939,0.198961945536666,"ASCI"
201050,"SP_Mag",10.9789,"Current","sp_mag",0.423067192369593,0.866104917383927,"ASCI"
201060,"SP_Mag",59.6801,"Current","sp_mag",0.237723459975838,0.344626151651275,"ASCI"
201061,"SP_Mag",34.1211,"Current","sp_mag",0.328167877901442,0.599098438456487,"ASCI"
201062,"SP_Mag",38.0818,"Current","sp_mag",0.313024339601814,0.556490935309101,"ASCI"
201070,"SP_Mag",99.4189,"Current","sp_mag",0.134369757231292,0.053832604736916,"ASCI"
201080,"SP_Mag",98.4955,"Current","sp_mag",0.136266576329543,0.0591694503340072,"ASCI"
201090,"SP_Mag",20.7698,"Current","sp_mag",0.381759786078463,0.74988337069276,"ASCI"
201091,"SP_Mag",3.5041,"Current","sp_mag",0.455377552826632,0.957012587548453,"ASCI"
201100,"SP_Mag",81.8901,"Current","sp_mag",0.174347453432127,0.166312910396007,"ASCI"
203010,"SP_Mag",23.3293,"Current","sp_mag",0.371212073056951,0.720206573443018,"ASCI"
