COMID,FlowMetric,PredictedProbabilityScaled,Index,IndexCode
948070309,DS_Mag_50,9.916764e-01,ASCI,ASCI_DS_Mag_50
20341645,DS_Mag_50,9.547087e-01,ASCI,ASCI_DS_Mag_50
20341545,DS_Mag_50,9.836520e-01,ASCI,ASCI_DS_Mag_50
20331544,DS_Mag_50,9.487680e-01,ASCI,ASCI_DS_Mag_50
20331684,DS_Mag_50,9.116758e-01,ASCI,ASCI_DS_Mag_50
20331084,DS_Mag_50,9.618198e-01,ASCI,ASCI_DS_Mag_50
20348515,DS_Mag_50,9.975982e-01,ASCI,ASCI_DS_Mag_50
20325337,DS_Mag_50,9.879602e-01,ASCI,ASCI_DS_Mag_50
20325049,DS_Mag_50,9.830162e-01,ASCI,ASCI_DS_Mag_50
22550547,DS_Mag_50,9.863834e-01,ASCI,ASCI_DS_Mag_50
20343405,DS_Mag_50,9.877234e-01,ASCI,ASCI_DS_Mag_50
20330886,DS_Mag_50,9.983020e-01,ASCI,ASCI_DS_Mag_50
22549075,DS_Mag_50,9.347200e-01,ASCI,ASCI_DS_Mag_50
22550571,DS_Mag_50,9.921854e-01,ASCI,ASCI_DS_Mag_50
20350947,DS_Mag_50,9.964127e-01,ASCI,ASCI_DS_Mag_50
20334640,DS_Mag_50,9.284576e-01,ASCI,ASCI_DS_Mag_50
20333706,DS_Mag_50,9.350636e-01,ASCI,ASCI_DS_Mag_50
20343143,DS_Mag_50,9.879562e-01,ASCI,ASCI_DS_Mag_50
20329214,DS_Mag_50,9.657103e-01,ASCI,ASCI_DS_Mag_50
20329966,DS_Mag_50,9.922469e-01,ASCI,ASCI_DS_Mag_50
20331398,DS_Mag_50,9.905852e-01,ASCI,ASCI_DS_Mag_50
20332650,DS_Mag_50,9.935366e-01,ASCI,ASCI_DS_Mag_50
20332804,DS_Mag_50,9.958936e-01,ASCI,ASCI_DS_Mag_50
20344509,DS_Mag_50,9.638244e-01,ASCI,ASCI_DS_Mag_50
20329886,DS_Mag_50,9.962937e-01,ASCI,ASCI_DS_Mag_50
22549611,DS_Mag_50,9.898924e-01,ASCI,ASCI_DS_Mag_50
22548367,DS_Mag_50,9.877924e-01,ASCI,ASCI_DS_Mag_50
20348623,DS_Mag_50,9.964081e-01,ASCI,ASCI_DS_Mag_50
20343053,DS_Mag_50,9.812086e-01,ASCI,ASCI_DS_Mag_50
20325155,DS_Mag_50,9.935744e-01,ASCI,ASCI_DS_Mag_50
20342589,DS_Mag_50,9.873251e-01,ASCI,ASCI_DS_Mag_50
20348653,DS_Mag_50,9.473319e-01,ASCI,ASCI_DS_Mag_50
22545381,DS_Mag_50,9.829356e-01,ASCI,ASCI_DS_Mag_50
20334554,DS_Mag_50,9.765283e-01,ASCI,ASCI_DS_Mag_50
20325421,DS_Mag_50,9.883406e-01,ASCI,ASCI_DS_Mag_50
20333184,DS_Mag_50,9.843842e-01,ASCI,ASCI_DS_Mag_50
20348235,DS_Mag_50,9.979505e-01,ASCI,ASCI_DS_Mag_50
20332658,DS_Mag_50,9.893782e-01,ASCI,ASCI_DS_Mag_50
22549115,DS_Mag_50,9.986405e-01,ASCI,ASCI_DS_Mag_50
948070246,DS_Mag_50,7.960419e-01,ASCI,ASCI_DS_Mag_50
20343247,DS_Mag_50,9.890749e-01,ASCI,ASCI_DS_Mag_50
20350697,DS_Mag_50,9.728792e-01,ASCI,ASCI_DS_Mag_50
20331576,DS_Mag_50,8.776211e-01,ASCI,ASCI_DS_Mag_50
22549459,DS_Mag_50,9.897802e-01,ASCI,ASCI_DS_Mag_50
22549539,DS_Mag_50,9.935109e-01,ASCI,ASCI_DS_Mag_50
20348669,DS_Mag_50,9.977644e-01,ASCI,ASCI_DS_Mag_50
22548337,DS_Mag_50,9.970964e-01,ASCI,ASCI_DS_Mag_50
20350827,DS_Mag_50,9.987416e-01,ASCI,ASCI_DS_Mag_50
20342677,DS_Mag_50,9.739150e-01,ASCI,ASCI_DS_Mag_50
20348869,DS_Mag_50,9.995532e-01,ASCI,ASCI_DS_Mag_50
20341665,DS_Mag_50,9.936147e-01,ASCI,ASCI_DS_Mag_50
20333610,DS_Mag_50,9.650823e-01,ASCI,ASCI_DS_Mag_50
20341969,DS_Mag_50,9.968693e-01,ASCI,ASCI_DS_Mag_50
20344515,DS_Mag_50,9.966827e-01,ASCI,ASCI_DS_Mag_50
20342717,DS_Mag_50,9.890727e-01,ASCI,ASCI_DS_Mag_50
948070199,DS_Mag_50,9.754843e-01,ASCI,ASCI_DS_Mag_50
22547489,DS_Mag_50,9.942569e-01,ASCI,ASCI_DS_Mag_50
20331520,DS_Mag_50,9.956272e-01,ASCI,ASCI_DS_Mag_50
20332402,DS_Mag_50,9.985159e-01,ASCI,ASCI_DS_Mag_50
20342673,DS_Mag_50,9.743144e-01,ASCI,ASCI_DS_Mag_50
20348503,DS_Mag_50,9.974960e-01,ASCI,ASCI_DS_Mag_50
20325313,DS_Mag_50,9.854383e-01,ASCI,ASCI_DS_Mag_50
22548483,DS_Mag_50,9.636241e-01,ASCI,ASCI_DS_Mag_50
20343151,DS_Mag_50,9.674346e-01,ASCI,ASCI_DS_Mag_50
22549457,DS_Mag_50,9.910082e-01,ASCI,ASCI_DS_Mag_50
22549089,DS_Mag_50,9.777755e-01,ASCI,ASCI_DS_Mag_50
20333296,DS_Mag_50,9.952962e-01,ASCI,ASCI_DS_Mag_50
20329220,DS_Mag_50,9.971744e-01,ASCI,ASCI_DS_Mag_50
20325195,DS_Mag_50,9.994118e-01,ASCI,ASCI_DS_Mag_50
20326341,DS_Mag_50,9.937704e-01,ASCI,ASCI_DS_Mag_50
948070164,DS_Mag_50,9.921275e-01,ASCI,ASCI_DS_Mag_50
20328624,DS_Mag_50,9.177135e-01,ASCI,ASCI_DS_Mag_50
20333428,DS_Mag_50,9.912220e-01,ASCI,ASCI_DS_Mag_50
948070198,DS_Mag_50,9.674980e-01,ASCI,ASCI_DS_Mag_50
20343391,DS_Mag_50,9.548838e-01,ASCI,ASCI_DS_Mag_50
