"","site","hydro.endpoints","hydro","Scenario","FlowMetric","PredictedProbability","PredictedProbabilityScaled","index"
"207",402031,"FA_Mag",21.4849296716193,"Current","fa_mag",0.55922366552467,0.134081714881843,"CSCI"
"208",402041,"FA_Mag",0.605689466050499,"Current","fa_mag",0.557141199757437,0.00303281523353416,"CSCI"
"209",402050,"FA_Mag",18.4271006964359,"Current","fa_mag",0.558918810425428,0.114897281727412,"CSCI"
"210",402051,"FA_Mag",17.6998500087979,"Current","fa_mag",0.558846299468885,0.110334190599136,"CSCI"
"211",403011,"FA_Mag",15.9513742157747,"Current","fa_mag",0.558671956397784,0.0993628373175488,"CSCI"
"212",403020,"FA_Mag",27.3442089503073,"Current","fa_mag",0.559807690700634,0.170834231000624,"CSCI"
"213",403030,"FA_Mag",5.80377302179991,"Current","fa_mag",0.557659839975309,0.0356706770101134,"CSCI"
"214",404010,"FA_Mag",15.3225380787349,"Current","fa_mag",0.558609250690135,0.0954167873424401,"CSCI"
"215",201030,"FA_Mag",-28.1106369313015,"Current","fa_mag",0.4286677478185,0,"CSCI"
"216",201050,"FA_Mag",-4.3609682913111,"Current","fa_mag",0.429359540890251,0.943775292651175,"CSCI"
"217",201090,"FA_Mag",-28.0819515744243,"Current","fa_mag",0.428668583213378,0.0011396833503673,"CSCI"
"218",402040,"FA_Mag",-2.94639948966827,"Current","fa_mag",0.42940075394521,1,"CSCI"
"219",101010,"Peak_10",59.66226,"Current","peak_10",NA,NA,"CSCI"
"220",101011,"Peak_10",44.57912,"Current","peak_10",NA,NA,"CSCI"
"221",101012,"Peak_10",34.67242,"Current","peak_10",NA,NA,"CSCI"
"222",101020,"Peak_10",15.74736,"Current","peak_10",NA,NA,"CSCI"
"223",201010,"Peak_10",771.3611,"Current","peak_10",NA,NA,"CSCI"
"224",201020,"Peak_10",771.45954,"Current","peak_10",NA,NA,"CSCI"
"225",201030,"Peak_10",33.14222,"Current","peak_10",NA,NA,"CSCI"
"226",201031,"Peak_10",13.06828,"Current","peak_10",NA,NA,"CSCI"
"227",201040,"Peak_10",512.10304,"Current","peak_10",NA,NA,"CSCI"
"228",201041,"Peak_10",477.06738,"Current","peak_10",NA,NA,"CSCI"
"229",201050,"Peak_10",80.47682,"Current","peak_10",NA,NA,"CSCI"
"230",201060,"Peak_10",356.15714,"Current","peak_10",NA,NA,"CSCI"
"231",201061,"Peak_10",91.46232,"Current","peak_10",NA,NA,"CSCI"
"232",201062,"Peak_10",191.73086,"Current","peak_10",NA,NA,"CSCI"
"233",201070,"Peak_10",771.3611,"Current","peak_10",NA,NA,"CSCI"
"234",201080,"Peak_10",771.45954,"Current","peak_10",NA,NA,"CSCI"
"235",201090,"Peak_10",33.14222,"Current","peak_10",NA,NA,"CSCI"
"236",201091,"Peak_10",13.06828,"Current","peak_10",NA,NA,"CSCI"
"237",201100,"Peak_10",512.10304,"Current","peak_10",NA,NA,"CSCI"
"238",203010,"Peak_10",126.52614,"Current","peak_10",NA,NA,"CSCI"
"239",204010,"Peak_10",220.2679,"Current","peak_10",NA,NA,"CSCI"
"240",205010,"Peak_10",60.55396,"Current","peak_10",NA,NA,"CSCI"
"241",207010,"Peak_10",37.74688,"Current","peak_10",NA,NA,"CSCI"
"242",301010,"Peak_10",191.04772,"Current","peak_10",NA,NA,"CSCI"
"243",301011,"Peak_10",38.64792,"Current","peak_10",NA,NA,"CSCI"
"244",301020,"Peak_10",63.7893,"Current","peak_10",NA,NA,"CSCI"
"245",301030,"Peak_10",49.40966,"Current","peak_10",NA,NA,"CSCI"
"246",401070,"Peak_10",21.61262,"Current","peak_10",NA,NA,"CSCI"
"247",401080,"Peak_10",123.82006,"Current","peak_10",NA,NA,"CSCI"
"248",401100,"Peak_10",13.51326,"Current","peak_10",NA,NA,"CSCI"
"249",401101,"Peak_10",0.802979999999991,"Current","peak_10",NA,NA,"CSCI"
"250",401110,"Peak_10",28.17752,"Current","peak_10",NA,NA,"CSCI"
"251",401120,"Peak_10",1.54384000000096,"Current","peak_10",NA,NA,"CSCI"
"252",401121,"Peak_10",3.66273999999999,"Current","peak_10",NA,NA,"CSCI"
"253",402010,"Peak_10",13.51326,"Current","peak_10",NA,NA,"CSCI"
"254",402020,"Peak_10",313.4982,"Current","peak_10",NA,NA,"CSCI"
"255",402021,"Peak_10",297.50812,"Current","peak_10",NA,NA,"CSCI"
"256",402022,"Peak_10",272.86866,"Current","peak_10",NA,NA,"CSCI"
"257",402023,"Peak_10",239.81,"Current","peak_10",NA,NA,"CSCI"
"258",402030,"Peak_10",106.31148,"Current","peak_10",NA,NA,"CSCI"
